AppID,Nombre,Horas Totales,Horas Últimas 2 Semanas,Última Vez Jugado,Logros Totales,Logros Desbloqueados
290930,Half-Life 2: Update,0.0,0.0,1969-12-31 19:00:00,33,0
244160,Homeworld Remastered Collection,0.0,0.0,1969-12-31 19:00:00,34,0
303840,Point Perfect,0.0,0.0,1969-12-31 19:00:00,10,0
232430,Gone Home,0.0,0.0,1969-12-31 19:00:00,10,0
316790,Grim Fandango Remastered,0.0,0.0,1969-12-31 19:00:00,47,0
320040,Moon Hunters,0.0,0.0,1969-12-31 19:00:00,47,0
238010,Deus Ex: Human Revolution - Director's Cut,30.93,0.0,2024-05-23 20:28:31,59,25
21690,Resident Evil 5,16.3,0.0,2020-01-06 19:30:27,70,23
302510,Ryse: Son of Rome,9.27,0.0,2024-05-30 20:40:41,73,25
214490,Alien: Isolation,0.0,0.0,1969-12-31 19:00:00,50,0
323220,Vagante,0.0,0.0,1969-12-31 19:00:00,44,0
327070,Gloria Victis,0.0,0.0,1969-12-31 19:00:00,79,0
268050,The Evil Within,25.48,0.0,2021-02-07 22:12:35,71,17
331610,Movie Studio Boss: The Sequel,0.0,0.0,1969-12-31 19:00:00,17,0
305620,The Long Dark,0.0,0.0,1969-12-31 19:00:00,75,0
323470,DRAGON BALL XENOVERSE,21.55,0.0,2024-05-04 20:59:21,50,8
334940,Yoku's Island Express,0.0,0.0,1969-12-31 19:00:00,31,0
304240,Resident Evil,0.0,0.0,1969-12-31 19:00:00,44,0
343860,Tacoma,0.0,0.0,1969-12-31 19:00:00,12,0
307780,Mortal Kombat X,19.58,0.0,2024-06-03 14:56:57,73,13
349730,Popup Dungeon,0.0,0.0,1969-12-31 19:00:00,65,0
298630,The Escapists,0.0,0.0,1969-12-31 19:00:00,37,0
351920,Crazy Machines 3,0.0,0.0,1969-12-31 19:00:00,41,0
352890,Caravan,0.0,0.0,1969-12-31 19:00:00,14,0
359840,Shift Happens,0.0,0.0,1969-12-31 19:00:00,31,0
332250,The Next Penelope,0.0,0.0,1969-12-31 19:00:00,23,0
362890,Black Mesa,0.0,0.0,1969-12-31 19:00:00,50,0
